timestamp,symbol,pred,win,stake,pnl,units,paper
2026-09-01T20:00:00+00:00,BTCUSDT,1,1,292.5,239.32,0.8182,0
2026-09-03T03:00:00+00:00,BTCUSDT,-1,1,299.5,245.05,0.8182,0
2026-09-04T00:00:00+00:00,ETHUSDT,-1,1,306.67,250.91,0.8182,0
