timestamp,stake_mult,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_total,entered_all,bank
2025-09-01 01:00:00+00:00,1.0,0.51242834,0.50965345,0.5044536,0.48757166,0.49034655,0.4955464,-1,-1,-1,0,1,0,-50.0,0,101152.75
2025-09-01 02:00:00+00:00,1.0,0.5225337,0.5181208,0.5213111,0.4774663,0.48187917,0.4786889,1,1,1,1,1,1,132.75,1,101285.5
2025-09-01 03:00:00+00:00,1.0,0.5213292,0.51086056,0.5081485,0.47867078,0.48913944,0.4918515,-1,-1,-1,1,1,0,-100.0,0,101185.5
2025-09-01 04:00:00+00:00,1.0,0.5151559,0.5181208,0.51432604,0.4848441,0.48187917,0.48567396,1,1,1,0,1,1,88.5,0,101274.0
2025-09-01 05:00:00+00:00,1.0,0.48594737,0.4922379,0.49645805,0.5140526,0.5077621,0.50354195,1,1,1,0,0,0,0.0,0,101274.0
2025-09-01 06:00:00+00:00,1.0,0.49183455,0.5012271,0.49334365,0.5081655,0.49877292,0.50665635,1,1,1,0,0,0,0.0,0,101274.0
2025-09-01 07:00:00+00:00,1.0,0.49270314,0.4801888,0.48086613,0.50729686,0.5198112,0.51913387,1,1,1,0,-1,-1,-100.0,0,101174.0
2025-09-01 08:00:00+00:00,1.0,0.4810871,0.48193884,0.48502767,0.5189129,0.51806116,0.5149723,-1,-1,-1,-1,-1,-1,132.75,1,101306.75
2025-09-01 09:00:00+00:00,1.0,0.48142692,0.49275768,0.49973527,0.51857305,0.5072423,0.50026476,-1,-1,-1,-1,0,0,44.25,0,101351.0
2025-09-01 10:00:00+00:00,1.0,0.50277984,0.5027186,0.5121157,0.49722016,0.49728137,0.48788428,1,-1,-1,0,0,1,-50.0,0,101301.0
2025-09-01 11:00:00+00:00,1.0,0.48511305,0.5085006,0.51523525,0.514887,0.49149942,0.48476475,1,1,1,0,1,1,88.5,0,101389.5
2025-09-01 12:00:00+00:00,1.0,0.4965662,0.50078946,0.5047635,0.5034338,0.49921054,0.49523652,-1,-1,-1,0,0,0,0.0,0,101389.5
2025-09-01 13:00:00+00:00,1.0,0.49661875,0.5019246,0.5167998,0.50338125,0.49807543,0.4832002,1,1,1,0,0,1,44.25,0,101433.75
2025-09-01 14:00:00+00:00,1.0,0.49336144,0.4920025,0.49700257,0.5066385,0.5079975,0.5029974,-1,-1,-1,0,0,0,0.0,0,101433.75
2025-09-01 15:00:00+00:00,1.0,0.5145606,0.4897581,0.518443,0.48543942,0.51024187,0.481557,-1,-1,-1,0,-1,1,-5.75,0,101428.0
2025-09-01 16:00:00+00:00,1.0,0.5076088,0.50886,0.5167998,0.49239123,0.49114,0.4832002,1,-1,-1,0,1,1,-100.0,0,101328.0
2025-09-01 17:00:00+00:00,1.0,0.4750046,0.5218117,0.5177763,0.5249954,0.47818828,0.4822237,1,1,1,-1,1,1,38.5,1,101366.5
