timestamp,source,stake_mult,min_conf,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,base_sig_BTCUSDT,base_sig_XRPUSDT,base_sig_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_BTCUSDT,pnl_XRPUSDT,pnl_ETHUSDT,pnl_total,entered_all,bank
2025-03-04 16:00:00+00:00,oot,1.0,0.014,0.5092822909355164,0.4937961995601654,0.491671621799469,0.4907177090644836,0.5062037706375122,0.508328378200531,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 17:00:00+00:00,oot,1.0,999.0,0.4954757690429687,0.4989193379878998,0.4887109398841858,0.5045242309570312,0.5010806322097778,0.5112890601158142,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 18:00:00+00:00,oot,1.0,999.0,0.4826520085334778,0.4652386307716369,0.4799708425998688,0.5173479914665222,0.534761369228363,0.5200291872024536,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 19:00:00+00:00,oot,1.0,0.014,0.4979913234710693,0.4970343112945556,0.4695901870727539,0.5020086765289307,0.5029656887054443,0.5304098129272461,0,0,-1,-1,-1,-1,0,0,-1,0.0,0.0,115.05,115.05,0,9794.95
2025-03-04 20:00:00+00:00,oot,1.0,0.014,0.5063593983650208,0.4913322627544403,0.4901493489742279,0.4936406016349792,0.5086677074432373,0.5098506212234497,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9794.95
2025-03-04 21:00:00+00:00,oot,1.0,999.0,0.4826520085334778,0.4603332281112671,0.4799708425998688,0.5173479914665222,0.5396667718887329,0.5200291872024536,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9794.95
2025-03-04 22:00:00+00:00,oot,1.0,0.008,0.4774551391601562,0.4603332281112671,0.4662046134471893,0.5225448608398438,0.5396667718887329,0.5337953567504883,0,0,-1,-1,1,1,0,0,-1,0.0,0.0,-130.0,-130.0,0,9664.95
2025-03-04 23:00:00+00:00,oot,1.0,0.008,0.4965770244598388,0.4621122479438782,0.4813544452190399,0.5034229755401611,0.5378877520561218,0.5186455249786377,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 00:00:00+00:00,oot,0.5,0.014,0.5104200839996338,0.5058681964874268,0.5003716349601746,0.4895799160003662,0.4941318035125732,0.4996283650398254,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 01:00:00+00:00,oot,0.5,999.0,0.4906756281852722,0.4579368531703949,0.4554511308670044,0.5093243718147278,0.5420631170272827,0.5445488691329956,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 02:00:00+00:00,oot,0.5,0.014,0.4763964116573334,0.4709541499614715,0.4924734830856323,0.5236035585403442,0.529045820236206,0.5075265169143677,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 03:00:00+00:00,oot,0.5,0.014,0.5046865344047546,0.4671467244625091,0.5008000135421753,0.4953134655952453,0.5328532457351685,0.4991999864578247,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 04:00:00+00:00,oot,0.5,999.0,0.5104200839996338,0.4974638819694519,0.4835577011108398,0.4895799160003662,0.5025361180305481,0.5164422988891602,0,0,0,1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 05:00:00+00:00,oot,0.5,0.014,0.5008448362350464,0.4923612773418426,0.4873096644878387,0.4991551637649536,0.507638692855835,0.5126903057098389,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 06:00:00+00:00,oot,0.5,0.014,0.4799253642559051,0.5146976113319397,0.4799708425998688,0.5200746059417725,0.4853023886680603,0.5200291872024536,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9664.95
2025-03-05 07:00:00+00:00,oot,0.5,0.014,0.4814639985561371,0.467568963766098,0.459469586610794,0.5185359716415405,0.5324310064315796,0.5405304431915283,0,0,-1,1,1,1,0,0,-1,0.0,0.0,-65.0,-65.0,0,9599.95
2025-03-05 08:00:00+00:00,oot,0.5,0.014,0.4685240387916565,0.458179771900177,0.4571239352226257,0.5314759612083435,0.541820228099823,0.5428760647773743,0,0,-1,1,1,1,0,0,-1,0.0,0.0,-65.0,-65.0,0,9534.95
2025-03-05 09:00:00+00:00,oot,0.5,0.014,0.4814639985561371,0.4736162722110748,0.459469586610794,0.5185359716415405,0.5263837575912476,0.5405304431915283,0,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9534.95
