timestamp,stake_mult,theta_BTCUSDT,theta_XRPUSDT,theta_ETHUSDT,theta_SOLUSDT,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_up_SOLUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,prob_down_SOLUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,actual_SOLUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,signal_SOLUSDT,pnl_total,entered_all,bank
2025-02-17 01:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.4773649881597061,0.4570777139647506,0.44857503012749,0.4656914080062784,0.5226350118402938,0.5429222860352494,0.55142496987251,0.5343085919937216,-1,-1,-1,-1,0,-1,0,-1,0.0,0,10000.0
2025-02-17 02:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.5468605710197951,0.5288716078779471,0.5525499466174814,0.5468920859713059,0.4531394289802049,0.4711283921220529,0.4474500533825186,0.4531079140286941,-1,-1,1,-1,0,1,0,1,0.0,0,10000.0
2025-02-17 03:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.5060257598443506,0.5186620842393271,0.4943832992844379,0.49970768243953,0.4939742401556494,0.4813379157606728,0.5056167007155621,0.5002923175604699,-1,-1,-1,-1,0,1,0,0,0.0,0,10000.0
2025-02-17 04:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.546837049228898,0.5415379346302356,0.5569953235811491,0.5539161479223623,0.453162950771102,0.4584620653697644,0.4430046764188509,0.4460838520776377,1,-1,1,1,0,1,0,1,0.0,0,10000.0
2025-02-17 05:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.5046254709388723,0.5250281905678179,0.5027935320814785,0.5043270393063003,0.4953745290611276,0.4749718094321821,0.4972064679185215,0.4956729606936997,1,-1,1,-1,0,1,0,0,0.0,0,10000.0
2025-02-17 06:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.5013472026251755,0.5315602263941528,0.4980416587067079,0.5071885109247775,0.4986527973748245,0.4684397736058472,0.5019583412932921,0.4928114890752225,-1,-1,-1,-1,0,1,0,0,0.0,0,10000.0
2025-02-17 07:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.5331780556840994,0.5399512341272904,0.5265957292021639,0.5352503215437463,0.4668219443159006,0.4600487658727096,0.4734042707978361,0.4647496784562537,1,1,1,1,0,1,0,1,0.0,0,10000.0
2025-02-17 08:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.470655116834723,0.4952042724538267,0.4550291765141785,0.4683642747240162,0.529344883165277,0.5047957275461732,0.5449708234858215,0.5316357252759838,1,1,1,1,0,-1,0,0,0.0,0,10000.0
2025-02-17 09:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.4823903271889378,0.5069331544625113,0.4616957341685441,0.4617197655821732,0.5176096728110622,0.4930668455374887,0.5383042658314559,0.5382802344178268,-1,-1,1,-1,0,1,0,-1,0.0,0,10000.0
2025-02-17 10:00:00,0.0,0.54708,0.5,0.59293,0.53387,0.492789587334988,0.5139802094742263,0.4753451423759399,0.4824955846378333,0.507210412665012,0.4860197905257737,0.5246548576240601,0.5175044153621666,-1,-1,1,1,0,1,0,0,0.0,0,10000.0
